

('SWEEP', '10', '10', '1', '00000408')
('115200', '1', '1', '00', '5050')
05
01
(65, 44)
(42, [61, 219.0625])
(43, [65, 221.0])
(44, [82, 223.9375])
(45, [101, 227.0])
(46, [1, 239.9375])
(47, [213, 242.125])
(48, [171, 244.875])
(49, [164, 247.375])
(50, [176, 249.9375])
(51, [191, 252.4375])
(52, [189, 255.1875])
(53, [298, 258.1875])
(54, [327, 261.4375])
(55, [310, 264.3125])
(56, [311, 266.875])
(57, [307, 269.8125])
(58, [303, 272.9375])
(59, [306, 276.0])
(60, [287, 278.9375])
(61, [277, 281.875])
(62, [271, 284.4375])
(63, [280, 286.8125])
(64, [272, 289.6875])
(65, [280, 292.75])
(66, [282, 296.3125])
(67, [254, 306.4375])
(68, [323, 309.6875])
(69, [354, 320.75])
(70, [429, 324.3125])
(71, [412, 333.1875])
(72, [318, 336.25])
(73, [313, 339.0])
(74, [305, 341.75])
(75, [296, 344.3125])
(76, [266, 346.875])
(77, [243, 349.375])
(78, [261, 352.125])
(79, [275, 354.6875])
(80, [155, 357.25])
(81, [153, 359.8125])
(82, [155, 2.5])
(83, [180, 5.25])
(84, [169, 9.1875])


(85, 13)
(0, [340, 318.375])
(1, [437, 327.75])
(2, [439, 330.8125])
(3, [332, 333.875])
(4, [320, 336.8125])
(5, [311, 339.375])
(6, [299, 342.0625])
(7, [294, 344.625])
(8, [249, 347.375])
(9, [244, 349.9375])
(10, [272, 352.5])
(11, [276, 355.0])
(12, [154, 357.75])
(13, [151, 0.625])
(14, [158, 3.1875])
(15, [191, 5.75])
(16, [132, 16.3125])
(17, [30, 29.3125])
(18, [29, 37.6875])
(19, [28, 41.25])
(20, [35, 44.3125])
(21, [29, 47.375])
(22, [38, 50.4375])
(23, [30, 54.0])
(24, [43, 66.8125])
(25, [25, 79.625])
(26, [4, 92.8125])
(27, [17, 105.6875])
(28, [17, 114.5625])
(29, [5, 127.25])
(30, [57, 140.25])
(31, [69, 148.125])
